name,description,image_url,chill_score,touristic_score,cultural_score,must_do_score,family_friendly_score,group_friendly_score,couple_friendly_score,budget,time_commitment_score,latitude,longitude,popularity_score,adventurous_score,off_the_beaten_path_score,entertainment_score,sportive_score,originality_score,unesco
Parc des Buttes-Chaumont,"Un des plus beaux parcs de Paris avec des cascades, des grottes et un temple perché. Parfait pour une balade romantique ou une sortie en famille.",https://images.unsplash.com/photo-1686052903991-fedc0903ad4d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCdXR0ZXMtQ2hhdW1vbnQlMjBQYXJrfGVufDB8fHx8MTcyNzE5MDQwMXww&ixlib=rb-4.0.3&q=80&w=1080,85,70,60,75,85,80,80,1,2.5,48.8809,2.382,80,75,85,70,80,80,False
Canal Saint-Martin,"Endroit parfait pour une promenade paisible le long des berges. Lieu branché avec des cafés et des boutiques alternatives, souvent peu fréquenté par les touristes.",https://images.unsplash.com/photo-1610047698260-e170fa1b1e65?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDYW5hbCUyMFNhaW50LU1hcnRpbnxlbnwwfHx8fDE3MjcxOTAzODl8MA&ixlib=rb-4.0.3&q=80&w=1080,90,80,50,80,75,80,90,1,2.0,48.8709,2.3642,85,70,80,80,40,90,False
Canal de l'Ourcq,Parcours agréable en bateau ou en vélo le long d’un canal calme qui s’éloigne de la ville. Excellent pour une escapade tranquille loin des circuits touristiques habituels.,https://images.unsplash.com/photo-1572539871444-f75875c64366?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDYW5hbCUyMGRlJTIwbCUyN091cmNxfGVufDB8fHx8MTcyNzE5MDQxNnww&ixlib=rb-4.0.3&q=80&w=1080,85,65,50,70,75,70,85,1,2.0,48.8851,2.3682,70,80,85,70,50,80,False
Centre Pompidou,Musée d'art moderne avec des expositions et des collections impressionnantes. Un must pour les amateurs d'art contemporain et un joyau architectural à découvrir.,https://images.unsplash.com/photo-1572626313928-e5ee0a169bff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDZW50cmUlMjBQb21waWRvdXxlbnwwfHx8fDE3MjcyMDA4Njd8MA&ixlib=rb-4.0.3&q=80&w=1080,60,90,90,85,65,75,70,2,2.5,48.8606,2.3522,90,40,50,85,20,75,False
Champs-Élysées,"Avenue la plus célèbre de Paris avec des boutiques de luxe, des restaurants et des cinémas. Un incontournable pour une première visite à Paris.",https://images.unsplash.com/photo-1557456275-5bfe3c02223f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDaGFtcHMtJUMzJTg5bHlzJUMzJUE5ZXN8ZW58MHx8fHwxNzI3MTkwMjM1fDA&ixlib=rb-4.0.3&q=80&w=1080,65,95,60,90,65,80,75,3,2.0,48.87,2.3045,95,30,40,80,15,65,False
Cité de l'Architecture et du Patrimoine,"Musée dédié à l'architecture et au patrimoine français, situé près du Trocadéro avec vue sur la Tour Eiffel. Idéal pour les amateurs d’histoire et d’architecture.",https://images.unsplash.com/photo-1629111015773-24321c639530?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDaXQlQzMlQTklMjBkZSUyMGwlMjdBcmNoaXRlY3R1cmUlMjBldCUyMGR1JTIwUGF0cmltb2luZXxlbnwwfHx8fDE3MjcyMDA4Njl8MA&ixlib=rb-4.0.3&q=80&w=1080,60,80,85,75,55,60,65,2,2.5,48.8624,2.2885,80,40,50,75,10,70,False
Coulée Verte René-Dumont,"Ancienne voie ferrée réaménagée en promenade verdoyante qui traverse le 12e arrondissement. Lieu paisible pour une marche tranquille, loin des attractions bondées.",https://images.unsplash.com/photo-1570688384235-e33c15afbe82?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDb3VsJUMzJUE5ZSUyMFZlcnRlJTIwUmVuJUMzJUE5LUR1bW9udHxlbnwwfHx8fDE3MjcxOTAzOTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,80,65,70,70,80,75,85,1,2.5,48.8463,2.3851,70,75,90,60,50,85,False
Disneyland Paris,"Parc d'attractions emblématique pour les petits et grands, avec des manèges, des spectacles et des parades. Un must pour les familles et amateurs de magie Disney.",https://images.unsplash.com/photo-1638268006222-a3838b24fd0a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxEaXNuZXlsYW5kJTIwUGFyaXN8ZW58MHx8fHwxNzI3MTkwMzg3fDA&ixlib=rb-4.0.3&q=80&w=1080,75,90,50,95,95,90,90,4,6.0,48.8675,2.7832,100,40,10,95,90,50,False
Escape Hunt,"Une expérience immersive d'escape game à thème, située en plein centre de Paris. Parfait pour les groupes d'amis ou les familles à la recherche de défis amusants.",https://images.unsplash.com/photo-1605844797540-c705624fa599?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxFc2NhcGUlMjBIdW50fGVufDB8fHx8MTcyNzIwMDg3M3ww&ixlib=rb-4.0.3&q=80&w=1080,65,50,30,60,65,85,70,3,2.0,48.8493,2.368,65,70,70,90,40,60,False
Galeries Lafayette Rooftop,Visitez le rooftop des Galeries Lafayette pour une vue panoramique sur Paris.,https://images.unsplash.com/photo-1724522626077-4ab1eea5d4b3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxHYWxlcmllcyUyMExhZmF5ZXR0ZSUyMFJvb2Z0b3B8ZW58MHx8fHwxNzI3MTkwMzg2fDA&ixlib=rb-4.0.3&q=80&w=1080,70,85,40,70,50,60,85,2,40.0,48.8738,2.332,80,10,20,55,0,20,False
Grand Palais,"Une magnifique salle d'exposition accueillant des expositions d'art, des défilés de mode et des événements culturels.",https://images.unsplash.com/photo-1567502400956-d7f451b518de?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxHcmFuZCUyMFBhbGFpc3xlbnwwfHx8fDE3MjcyMDA4NzV8MA&ixlib=rb-4.0.3&q=80&w=1080,40,90,80,85,50,70,75,3,60.0,48.8662,2.3125,90,10,10,80,10,25,True
Hôpital Saint-Louis Courtyard,"Une cour cachée dans un hôpital historique, un endroit calme avec une belle architecture.",https://images.unsplash.com/photo-1517237680353-0276536284ca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxIJUMzJUI0cGl0YWwlMjBTYWludC1Mb3VpcyUyMENvdXJ0eWFyZHxlbnwwfHx8fDE3MjcyMDA4NzZ8MA&ixlib=rb-4.0.3&q=80&w=1080,80,40,30,20,30,50,65,1,30.0,48.8718,2.3689,40,20,70,40,5,40,False
Institut du Monde Arabe,"Un centre culturel dédié à la culture arabe, avec des expositions, des concerts et une vue sur le toit de Paris.",https://images.unsplash.com/photo-1516705346105-1604914311cc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxJbnN0aXR1dCUyMGR1JTIwTW9uZGUlMjBBcmFiZXxlbnwwfHx8fDE3MjcyMDA4Nzd8MA&ixlib=rb-4.0.3&q=80&w=1080,40,60,85,70,40,55,60,2,50.0,48.8492,2.3586,70,10,30,50,5,35,False
Jardin Catherine-Labouré,"Un jardin caché derrière un couvent, offrant une évasion sereine de la ville animée.",https://images.unsplash.com/photo-1568883887623-71fe388a7106?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBDYXRoZXJpbmUtTGFib3VyJUMzJUE5fGVufDB8fHx8MTcyNzIwMDg3OXww&ixlib=rb-4.0.3&q=80&w=1080,90,35,20,25,70,60,80,1,50.0,48.8506,2.3196,40,10,80,45,0,60,False
Jardin d'Acclimatation,"Un parc d'attractions familial avec des jardins, des animaux et de nombreux endroits pour se détendre.",https://images.unsplash.com/photo-1723021211505-6137d51da475?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkJTI3QWNjbGltYXRhdGlvbnxlbnwwfHx8fDE3MjcxOTA0MjF8MA&ixlib=rb-4.0.3&q=80&w=1080,80,70,35,50,90,90,70,3,70.0,48.8771,2.2675,80,40,25,80,50,50,False
Jardin des Plantes,"Promenez-vous dans les magnifiques jardins botaniques, un endroit parfait pour se détendre et pique-niquer.",https://images.unsplash.com/photo-1667214414303-cf69ae0fb76f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkZXMlMjBQbGFudGVzfGVufDB8fHx8MTcyNzE5MDM5NHww&ixlib=rb-4.0.3&q=80&w=1080,75,60,65,65,85,70,80,2,60.0,48.8434,2.3581,75,10,40,70,25,50,False
Jardin des Serres d'Auteuil,"Un jardin botanique avec de superbes serres, présentant des plantes et des fleurs rares.",https://images.unsplash.com/photo-1603582853461-e8fcdd95575d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkZXMlMjBTZXJyZXMlMjBkJTI3QXV0ZXVpbHxlbnwwfHx8fDE3MjcyMDA4ODJ8MA&ixlib=rb-4.0.3&q=80&w=1080,85,40,50,45,80,70,75,2,55.0,48.8437,2.2546,60,10,60,60,20,55,False
Jardin des Tuileries,"Promenez-vous dans le magnifique Jardin des Tuileries, situé entre le Louvre et la Place de la Concorde.",https://images.unsplash.com/photo-1695583055676-d6cdde56f15c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkZXMlMjBUdWlsZXJpZXN8ZW58MHx8fHwxNzI3MTkwMzc3fDA&ixlib=rb-4.0.3&q=80&w=1080,70,85,60,75,70,80,85,1,50.0,48.8638,2.327,85,10,20,65,0,30,False
Jardin du Palais Royal,"Un jardin caché entouré d'arcades, parfait pour une promenade tranquille à l'abri de la foule.",https://images.unsplash.com/photo-1570667113707-e1df4c42251d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkdSUyMFBhbGFpcyUyMFJveWFsfGVufDB8fHx8MTcyNzIwMDg4NHww&ixlib=rb-4.0.3&q=80&w=1080,85,60,70,65,70,65,85,2,50.0,48.8669,2.3362,70,10,50,60,5,55,False
La Campagne à Paris,Promenez-vous dans ce quartier caché qui ressemble à une échappée à la campagne en plein cœur de la ville.,https://images.unsplash.com/photo-1471623320832-752e8bbf8413?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMENhbXBhZ25lJTIwJUMzJUEwJTIwUGFyaXN8ZW58MHx8fHwxNzI3MTkwNDE4fDA&ixlib=rb-4.0.3&q=80&w=1080,80,30,40,30,50,55,80,1,50.0,48.8744,2.408,45,30,90,40,15,75,False
La Pagode,"Un cinéma historique dans un bâtiment exotique, projetant des films d'art dans une ambiance intime.",https://images.unsplash.com/photo-1583133010801-0b9802ae9c17?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMFBhZ29kZXxlbnwwfHx8fDE3MjcyMDA4ODd8MA&ixlib=rb-4.0.3&q=80&w=1080,70,30,40,30,50,55,80,2,40.0,48.8522,2.2986,50,30,70,50,10,65,False
La Petite Ceinture,"Explorez la ligne de chemin de fer abandonnée, désormais une jungle urbaine cachée dans la ville.",https://images.unsplash.com/photo-1556905200-bd982f883637?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMFBldGl0ZSUyMENlaW50dXJlfGVufDB8fHx8MTcyNzIwMDg4OHww&ixlib=rb-4.0.3&q=80&w=1080,85,25,30,30,60,70,75,1,60.0,48.8403,2.35,45,40,90,45,20,75,False
La Philharmonie de Paris,Assistez à un concert de musique classique dans cette salle de concert à la pointe de la technologie conçue par l'architecte Jean Nouvel.,https://images.unsplash.com/photo-1471623320832-752e8bbf8413?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMFBoaWxoYXJtb25pZSUyMGRlJTIwUGFyaXN8ZW58MHx8fHwxNzI3MjAwODg5fDA&ixlib=rb-4.0.3&q=80&w=1080,40,70,90,75,50,70,70,3,60.0,48.8899,2.3935,80,10,10,85,5,35,False
La Recyclerie,"Un lieu unique qui combine un café, un jardin et des ateliers de recyclage pour une ambiance détendue.",https://images.unsplash.com/photo-1533652891997-cd472863d206?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMFJlY3ljbGVyaWV8ZW58MHx8fHwxNzI3MTkwNDAyfDA&ixlib=rb-4.0.3&q=80&w=1080,80,35,40,40,70,80,85,1,60.0,48.8953,2.3452,50,30,85,55,20,60,False
Les Grands Voisins,"Un espace communautaire dynamique avec des installations artistiques, des cafés, des boutiques et des activités culturelles.",https://images.unsplash.com/photo-1589814976518-788be08b9767?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMZXMlMjBHcmFuZHMlMjBWb2lzaW5zfGVufDB8fHx8MTcyNzIwMDg5Mnww&ixlib=rb-4.0.3&q=80&w=1080,80,35,40,40,60,75,80,1,60.0,48.8404,2.3352,55,30,85,50,15,65,False
Les Halles Forum,"Un centre commercial souterrain animé au cœur de Paris, offrant un mélange de magasins et de restaurants.",https://images.unsplash.com/photo-1557097217-bcffc79d6cb9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMZXMlMjBIYWxsZXMlMjBGb3J1bXxlbnwwfHx8fDE3MjcyMDA4OTN8MA&ixlib=rb-4.0.3&q=80&w=1080,50,80,40,65,70,85,65,3,50.0,48.8612,2.3474,80,10,15,70,5,25,False
Louvre Museum,Explorez l'un des plus grands musées du monde avec des œuvres célèbres comme la Mona Lisa.,https://images.unsplash.com/photo-1500039436846-25ae2f11882e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMb3V2cmUlMjBNdXNldW18ZW58MHx8fHwxNzI3MTkwMjI5fDA&ixlib=rb-4.0.3&q=80&w=1080,30,100,100,95,60,85,80,3,90.0,48.8606,2.3376,100,5,5,85,0,20,True
Luxembourg Gardens,"Détendez-vous dans les jardins du Luxembourg, une oasis de tranquillité au cœur de Paris.",https://images.unsplash.com/photo-1564679473880-5e132b38cf09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMdXhlbWJvdXJnJTIwR2FyZGVuc3xlbnwwfHx8fDE3MjcxOTAzODN8MA&ixlib=rb-4.0.3&q=80&w=1080,80,70,50,60,85,75,85,1,60.0,48.8462,2.3372,85,10,30,75,10,45,False
Maison Européenne de la Photographie,"Un musée dédié à la photographie contemporaine, accueillant des expositions régulières et des événements culturels.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYWlzb24lMjBFdXJvcCVDMyVBOWVubmUlMjBkZSUyMGxhJTIwUGhvdG9ncmFwaGllfGVufDB8fHx8MTcyNzIwMDg5Nnww&ixlib=rb-4.0.3&q=80&w=1080,40,50,75,65,40,55,65,2,50.0,48.8572,2.3599,60,10,30,65,5,35,False
Maison Rouge,Un musée d'art contemporain présentant des expositions tournantes dans un bâtiment en brique rouge saisissant.,https://images.unsplash.com/photo-1701621403367-da852bbbc0c0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYWlzb24lMjBSb3VnZXxlbnwwfHx8fDE3MjcyMDA4OTh8MA&ixlib=rb-4.0.3&q=80&w=1080,70,40,65,55,40,60,65,2,40.0,48.8493,2.3649,50,10,40,45,5,35,False
Maison de Balzac,"Visitez l'ancienne résidence de l'écrivain Honoré de Balzac, aujourd'hui un musée présentant sa vie et son œuvre.",https://images.unsplash.com/photo-1600527588483-ece2a2197ab7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYWlzb24lMjBkZSUyMEJhbHphY3xlbnwwfHx8fDE3MjcyMDA4OTl8MA&ixlib=rb-4.0.3&q=80&w=1080,70,40,60,50,40,55,70,2,40.0,48.8559,2.277,50,5,50,50,5,40,False
Maison de Victor Hugo,"Explorez l'ancienne résidence de Victor Hugo, aujourd'hui un musée consacré à sa vie et à ses œuvres.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYWlzb24lMjBkZSUyMFZpY3RvciUyMEh1Z298ZW58MHx8fHwxNzI3MjAwOTAwfDA&ixlib=rb-4.0.3&q=80&w=1080,70,55,80,65,50,60,75,2,50.0,48.8545,2.3667,75,10,40,65,5,35,False
Marché aux Puces de Saint-Ouen,"Explorez l'un des plus grands marchés aux puces du monde, offrant des trésors vintage et des antiquités.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYXJjaCVDMyVBOSUyMGF1eCUyMFB1Y2VzJTIwZGUlMjBTYWludC1PdWVufGVufDB8fHx8MTcyNzIwMDkwMnww&ixlib=rb-4.0.3&q=80&w=1080,50,75,40,65,80,85,70,2,60.0,48.9051,2.3396,85,20,30,80,15,50,False
Marché des Enfants Rouges,"Explorez le plus ancien marché couvert de Paris, offrant une variété de stands de nourriture dans une ambiance cosy.",https://images.unsplash.com/photo-1683020368642-b13704a2a462?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYXJjaCVDMyVBOSUyMGRlcyUyMEVuZmFudHMlMjBSb3VnZXN8ZW58MHx8fHwxNzI3MTkwNDA2fDA&ixlib=rb-4.0.3&q=80&w=1080,60,70,35,50,70,75,65,1,40.0,48.8627,2.3639,70,20,60,65,10,55,False
Montmartre Walking Tour,Explorez le quartier artistique de Montmartre avec ses rues pavées et son ambiance bohème.,https://images.unsplash.com/photo-1628589549925-3bb8e0632be5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNb250bWFydHJlJTIwV2Fsa2luZyUyMFRvdXJ8ZW58MHx8fHwxNzI3MTkwMjMzfDA&ixlib=rb-4.0.3&q=80&w=1080,75,90,70,85,60,80,85,2,90.0,48.8867,2.338,90,25,20,85,15,40,False
Moulin Rouge Show,Assistez à un spectacle de cabaret au légendaire Moulin Rouge.,https://images.unsplash.com/photo-1523532509102-e5a73b881d8e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNb3VsaW4lMjBSb3VnZSUyMFNob3d8ZW58MHx8fHwxNzI3MjAwOTA1fDA&ixlib=rb-4.0.3&q=80&w=1080,40,100,50,85,60,85,70,4,60.0,48.8841,2.3324,95,10,10,90,0,30,False
Musée Bourdelle,"Découvrez les œuvres du sculpteur Antoine Bourdelle dans son ancien atelier, aujourd'hui un musée avec un jardin.",https://images.unsplash.com/photo-1666468687723-eaa328a27e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwQm91cmRlbGxlfGVufDB8fHx8MTcyNzIwMDkwN3ww&ixlib=rb-4.0.3&q=80&w=1080,75,45,70,60,40,60,70,2,50.0,48.8451,2.3164,60,5,60,50,5,40,False
Musée Carnavalet,"Un musée dédié à l'histoire de Paris, avec des expositions couvrant plusieurs siècles.",https://images.unsplash.com/photo-1673192548093-7bd7844c29d0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwQ2FybmF2YWxldHxlbnwwfHx8fDE3MjcyMDA5MDh8MA&ixlib=rb-4.0.3&q=80&w=1080,65,50,85,65,50,65,75,2,60.0,48.8572,2.3621,70,10,40,70,5,35,False
Musée Guimet,"Un musée dédié à l'art asiatique, présentant une vaste collection de sculptures, de peintures et d'artefacts.",https://images.unsplash.com/photo-1665760671029-d1cbd5b8c90a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwR3VpbWV0fGVufDB8fHx8MTcyNzIwMDkwOXww&ixlib=rb-4.0.3&q=80&w=1080,55,50,85,65,50,65,70,3,60.0,48.8641,2.2957,65,5,30,75,5,35,False
