name,description,image_url
Buttes-Chaumont Park,"Relax in one of Paris' largest parks, featuring hills, a lake, and hidden grottos.",https://images.unsplash.com/photo-1686052903991-fedc0903ad4d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCdXR0ZXMtQ2hhdW1vbnQlMjBQYXJrfGVufDB8fHx8MTcyNzE5MDQwMXww&ixlib=rb-4.0.3&q=80&w=1080
Canal Saint-Martin,"Enjoy a leisurely stroll along the Canal Saint-Martin, lined with trendy cafes and shops.",https://images.unsplash.com/photo-1610047698260-e170fa1b1e65?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDYW5hbCUyMFNhaW50LU1hcnRpbnxlbnwwfHx8fDE3MjcxOTAzODl8MA&ixlib=rb-4.0.3&q=80&w=1080
Canal de l'Ourcq,"Enjoy a laid-back day by the canal with cafes, picnic spots, and relaxing boat rides.",https://images.unsplash.com/photo-1572539871444-f75875c64366?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDYW5hbCUyMGRlJTIwbCUyN091cmNxfGVufDB8fHx8MTcyNzE5MDQxNnww&ixlib=rb-4.0.3&q=80&w=1080
Centre Pompidou,"Explore one of the largest museums of modern art in Europe, known for its unique architecture.",https://images.unsplash.com/photo-1572626313928-e5ee0a169bff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDZW50cmUlMjBQb21waWRvdXxlbnwwfHx8fDE3MjcyMDA4Njd8MA&ixlib=rb-4.0.3&q=80&w=1080
Champs-Élysées,Promenez-vous sur l'avenue des Champs-Élysées et découvrez les boutiques de luxe et cafés.,https://images.unsplash.com/photo-1557456275-5bfe3c02223f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDaGFtcHMtJUMzJTg5bHlzJUMzJUE5ZXN8ZW58MHx8fHwxNzI3MTkwMjM1fDA&ixlib=rb-4.0.3&q=80&w=1080
Cité de l'Architecture et du Patrimoine,"A museum focusing on French architecture and heritage, offering a fascinating journey through time.",https://images.unsplash.com/photo-1629111015773-24321c639530?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDaXQlQzMlQTklMjBkZSUyMGwlMjdBcmNoaXRlY3R1cmUlMjBldCUyMGR1JTIwUGF0cmltb2luZXxlbnwwfHx8fDE3MjcyMDA4Njl8MA&ixlib=rb-4.0.3&q=80&w=1080
Coulée Verte René-Dumont,"A peaceful elevated park built on an abandoned railway line, perfect for a quiet walk.",https://images.unsplash.com/photo-1570688384235-e33c15afbe82?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxDb3VsJUMzJUE5ZSUyMFZlcnRlJTIwUmVuJUMzJUE5LUR1bW9udHxlbnwwfHx8fDE3MjcxOTAzOTZ8MA&ixlib=rb-4.0.3&q=80&w=1080
Disneyland Paris,Experience the magic of Disneyland Paris with thrilling rides and attractions.,https://images.unsplash.com/photo-1638268006222-a3838b24fd0a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxEaXNuZXlsYW5kJTIwUGFyaXN8ZW58MHx8fHwxNzI3MTkwMzg3fDA&ixlib=rb-4.0.3&q=80&w=1080
Escape Hunt,"A themed escape room experience for groups, adding a bit of thrill and teamwork.",https://images.unsplash.com/photo-1605844797540-c705624fa599?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxFc2NhcGUlMjBIdW50fGVufDB8fHx8MTcyNzIwMDg3M3ww&ixlib=rb-4.0.3&q=80&w=1080
Galeries Lafayette Rooftop,Visit the rooftop of Galeries Lafayette for a panoramic view of Paris.,https://images.unsplash.com/photo-1724522626077-4ab1eea5d4b3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxHYWxlcmllcyUyMExhZmF5ZXR0ZSUyMFJvb2Z0b3B8ZW58MHx8fHwxNzI3MTkwMzg2fDA&ixlib=rb-4.0.3&q=80&w=1080
Grand Palais,"A magnificent exhibition hall hosting art exhibitions, fashion shows, and cultural events.",https://images.unsplash.com/photo-1567502400956-d7f451b518de?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxHcmFuZCUyMFBhbGFpc3xlbnwwfHx8fDE3MjcyMDA4NzV8MA&ixlib=rb-4.0.3&q=80&w=1080
Hôpital Saint-Louis Courtyard,"A hidden courtyard in a historic hospital, a quiet spot with beautiful architecture.",https://images.unsplash.com/photo-1517237680353-0276536284ca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxIJUMzJUI0cGl0YWwlMjBTYWludC1Mb3VpcyUyMENvdXJ0eWFyZHxlbnwwfHx8fDE3MjcyMDA4NzZ8MA&ixlib=rb-4.0.3&q=80&w=1080
Institut du Monde Arabe,"A cultural hub dedicated to Arab culture, with exhibitions, concerts, and a rooftop view of Paris.",https://images.unsplash.com/photo-1516705346105-1604914311cc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxJbnN0aXR1dCUyMGR1JTIwTW9uZGUlMjBBcmFiZXxlbnwwfHx8fDE3MjcyMDA4Nzd8MA&ixlib=rb-4.0.3&q=80&w=1080
Jardin Catherine-Labouré,"A hidden garden behind a convent, offering a serene escape from the busy city.",https://images.unsplash.com/photo-1568883887623-71fe388a7106?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBDYXRoZXJpbmUtTGFib3VyJUMzJUE5fGVufDB8fHx8MTcyNzIwMDg3OXww&ixlib=rb-4.0.3&q=80&w=1080
Jardin d'Acclimatation,"A family-friendly amusement park with gardens, animals, and plenty of chill spots.",https://images.unsplash.com/photo-1723021211505-6137d51da475?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkJTI3QWNjbGltYXRhdGlvbnxlbnwwfHx8fDE3MjcxOTA0MjF8MA&ixlib=rb-4.0.3&q=80&w=1080
Jardin des Plantes,"Wander through the beautiful botanical gardens, a perfect spot for relaxation and picnics.",https://images.unsplash.com/photo-1667214414303-cf69ae0fb76f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkZXMlMjBQbGFudGVzfGVufDB8fHx8MTcyNzE5MDM5NHww&ixlib=rb-4.0.3&q=80&w=1080
Jardin des Serres d'Auteuil,"A botanical garden with stunning greenhouses, showcasing rare plants and flowers.",https://images.unsplash.com/photo-1603582853461-e8fcdd95575d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkZXMlMjBTZXJyZXMlMjBkJTI3QXV0ZXVpbHxlbnwwfHx8fDE3MjcyMDA4ODJ8MA&ixlib=rb-4.0.3&q=80&w=1080
Jardin des Tuileries,"Stroll through the beautiful Tuileries Garden, located between the Louvre and Place de la Concorde.",https://images.unsplash.com/photo-1695583055676-d6cdde56f15c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkZXMlMjBUdWlsZXJpZXN8ZW58MHx8fHwxNzI3MTkwMzc3fDA&ixlib=rb-4.0.3&q=80&w=1080
Jardin du Palais Royal,"A hidden garden surrounded by arcades, perfect for a quiet stroll away from the crowds.",https://images.unsplash.com/photo-1570667113707-e1df4c42251d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxKYXJkaW4lMjBkdSUyMFBhbGFpcyUyMFJveWFsfGVufDB8fHx8MTcyNzIwMDg4NHww&ixlib=rb-4.0.3&q=80&w=1080
La Campagne à Paris,Stroll through this hidden neighborhood that feels like a countryside escape in the city.,https://images.unsplash.com/photo-1471623320832-752e8bbf8413?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMENhbXBhZ25lJTIwJUMzJUEwJTIwUGFyaXN8ZW58MHx8fHwxNzI3MTkwNDE4fDA&ixlib=rb-4.0.3&q=80&w=1080
La Pagode,"A historic cinema set in an exotic building, showing art-house films in an intimate setting.",https://images.unsplash.com/photo-1583133010801-0b9802ae9c17?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMFBhZ29kZXxlbnwwfHx8fDE3MjcyMDA4ODd8MA&ixlib=rb-4.0.3&q=80&w=1080
La Petite Ceinture,"Explore the abandoned railway line, now a hidden urban jungle within the city.",https://images.unsplash.com/photo-1556905200-bd982f883637?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMFBldGl0ZSUyMENlaW50dXJlfGVufDB8fHx8MTcyNzIwMDg4OHww&ixlib=rb-4.0.3&q=80&w=1080
La Philharmonie de Paris,Attend a classical music concert in this state-of-the-art venue designed by architect Jean Nouvel.,https://images.unsplash.com/photo-1471623320832-752e8bbf8413?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMFBoaWxoYXJtb25pZSUyMGRlJTIwUGFyaXN8ZW58MHx8fHwxNzI3MjAwODg5fDA&ixlib=rb-4.0.3&q=80&w=1080
La Recyclerie,"A unique spot that combines a café, garden, and upcycling workshops for a chill vibe.",https://images.unsplash.com/photo-1533652891997-cd472863d206?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMYSUyMFJlY3ljbGVyaWV8ZW58MHx8fHwxNzI3MTkwNDAyfDA&ixlib=rb-4.0.3&q=80&w=1080
Les Grands Voisins,"A vibrant community space with art installations, cafes, shops, and cultural activities.",https://images.unsplash.com/photo-1589814976518-788be08b9767?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMZXMlMjBHcmFuZHMlMjBWb2lzaW5zfGVufDB8fHx8MTcyNzIwMDg5Mnww&ixlib=rb-4.0.3&q=80&w=1080
Les Halles Forum,"A busy underground shopping center in the heart of Paris, offering a mix of stores and eateries.",https://images.unsplash.com/photo-1557097217-bcffc79d6cb9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMZXMlMjBIYWxsZXMlMjBGb3J1bXxlbnwwfHx8fDE3MjcyMDA4OTN8MA&ixlib=rb-4.0.3&q=80&w=1080
Louvre Museum,Explorez l'un des plus grands musées du monde avec des œuvres d'art célèbres comme la Mona Lisa.,https://images.unsplash.com/photo-1500039436846-25ae2f11882e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMb3V2cmUlMjBNdXNldW18ZW58MHx8fHwxNzI3MTkwMjI5fDA&ixlib=rb-4.0.3&q=80&w=1080
Luxembourg Gardens,"Relax in the Luxembourg Gardens, a peaceful oasis in the heart of Paris.",https://images.unsplash.com/photo-1564679473880-5e132b38cf09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxMdXhlbWJvdXJnJTIwR2FyZGVuc3xlbnwwfHx8fDE3MjcxOTAzODN8MA&ixlib=rb-4.0.3&q=80&w=1080
Maison Européenne de la Photographie,"A museum dedicated to contemporary photography, hosting regular exhibitions and cultural events.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYWlzb24lMjBFdXJvcCVDMyVBOWVubmUlMjBkZSUyMGxhJTIwUGhvdG9ncmFwaGllfGVufDB8fHx8MTcyNzIwMDg5Nnww&ixlib=rb-4.0.3&q=80&w=1080
Maison Rouge,A contemporary art museum hosting rotating exhibitions in a striking red-brick building.,https://images.unsplash.com/photo-1701621403367-da852bbbc0c0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYWlzb24lMjBSb3VnZXxlbnwwfHx8fDE3MjcyMDA4OTh8MA&ixlib=rb-4.0.3&q=80&w=1080
Maison de Balzac,"Visit the former residence of writer Honoré de Balzac, now a museum showcasing his life and work.",https://images.unsplash.com/photo-1600527588483-ece2a2197ab7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYWlzb24lMjBkZSUyMEJhbHphY3xlbnwwfHx8fDE3MjcyMDA4OTl8MA&ixlib=rb-4.0.3&q=80&w=1080
Maison de Victor Hugo,"Explore the former residence of Victor Hugo, now a museum dedicated to his life and works.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYWlzb24lMjBkZSUyMFZpY3RvciUyMEh1Z298ZW58MHx8fHwxNzI3MjAwOTAwfDA&ixlib=rb-4.0.3&q=80&w=1080
Marché aux Puces de Saint-Ouen,"Explore one of the largest flea markets in the world, offering vintage treasures and antiques.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYXJjaCVDMyVBOSUyMGF1eCUyMFB1Y2VzJTIwZGUlMjBTYWludC1PdWVufGVufDB8fHx8MTcyNzIwMDkwMnww&ixlib=rb-4.0.3&q=80&w=1080
Marché des Enfants Rouges,"Explore Paris' oldest covered market, offering a variety of food stalls in a cozy setting.",https://images.unsplash.com/photo-1683020368642-b13704a2a462?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNYXJjaCVDMyVBOSUyMGRlcyUyMEVuZmFudHMlMjBSb3VnZXN8ZW58MHx8fHwxNzI3MTkwNDA2fDA&ixlib=rb-4.0.3&q=80&w=1080
Montmartre Walking Tour,Explorez le quartier artistique de Montmartre avec ses rues pavées et son ambiance bohème.,https://images.unsplash.com/photo-1628589549925-3bb8e0632be5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNb250bWFydHJlJTIwV2Fsa2luZyUyMFRvdXJ8ZW58MHx8fHwxNzI3MTkwMjMzfDA&ixlib=rb-4.0.3&q=80&w=1080
Moulin Rouge Show,Assistez à un spectacle de cabaret au légendaire Moulin Rouge.,https://images.unsplash.com/photo-1523532509102-e5a73b881d8e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNb3VsaW4lMjBSb3VnZSUyMFNob3d8ZW58MHx8fHwxNzI3MjAwOTA1fDA&ixlib=rb-4.0.3&q=80&w=1080
Musée Bourdelle,"Discover the works of sculptor Antoine Bourdelle in his former studio, now a museum with a garden.",https://images.unsplash.com/photo-1666468687723-eaa328a27e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwQm91cmRlbGxlfGVufDB8fHx8MTcyNzIwMDkwN3ww&ixlib=rb-4.0.3&q=80&w=1080
Musée Carnavalet,"A museum dedicated to the history of Paris, with exhibitions that span centuries.",https://images.unsplash.com/photo-1673192548093-7bd7844c29d0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwQ2FybmF2YWxldHxlbnwwfHx8fDE3MjcyMDA5MDh8MA&ixlib=rb-4.0.3&q=80&w=1080
Musée Guimet,"A museum dedicated to Asian art, featuring a vast collection of sculptures, paintings, and artifacts.",https://images.unsplash.com/photo-1665760671029-d1cbd5b8c90a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwR3VpbWV0fGVufDB8fHx8MTcyNzIwMDkwOXww&ixlib=rb-4.0.3&q=80&w=1080
Musée Jacquemart-André,A stunning museum featuring a collection of classical art and period furniture in a 19th-century mansion.,https://images.unsplash.com/photo-1668512624315-5da320435a44?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwSmFjcXVlbWFydC1BbmRyJUMzJUE5fGVufDB8fHx8MTcyNzIwMDkxMXww&ixlib=rb-4.0.3&q=80&w=1080
Musée Marmottan Monet,"A museum housing the world's largest collection of Claude Monet's works, including 'Impression, Sunrise.'",https://images.unsplash.com/photo-1666468687723-eaa328a27e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwTWFybW90dGFuJTIwTW9uZXR8ZW58MHx8fHwxNzI3MjAwOTEyfDA&ixlib=rb-4.0.3&q=80&w=1080
Musée Nissim de Camondo,"Explore this luxurious mansion turned museum, showcasing French decorative arts from the 18th century.",https://images.unsplash.com/photo-1636142747667-345c583d09a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwTmlzc2ltJTIwZGUlMjBDYW1vbmRvfGVufDB8fHx8MTcyNzIwMDkxM3ww&ixlib=rb-4.0.3&q=80&w=1080
Musée Picasso,"Housed in a stunning hôtel particulier, this museum is dedicated to the works of Pablo Picasso.",https://images.unsplash.com/photo-1560706834-97a5cdf62110?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwUGljYXNzb3xlbnwwfHx8fDE3MjcyMDA5MTV8MA&ixlib=rb-4.0.3&q=80&w=1080
Musée Rodin,Discover the world of sculptor Auguste Rodin in this beautiful museum and garden.,https://images.unsplash.com/photo-1681854732406-30d197b297b9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwUm9kaW58ZW58MHx8fHwxNzI3MjAwOTE2fDA&ixlib=rb-4.0.3&q=80&w=1080
Musée Zadkine,"A small museum and garden dedicated to the works of sculptor Ossip Zadkine, hidden in Montparnasse.",https://images.unsplash.com/photo-1666468687723-eaa328a27e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwWmFka2luZXxlbnwwfHx8fDE3MjcyMDA5MTh8MA&ixlib=rb-4.0.3&q=80&w=1080
Musée d'Orsay,Découvrez la plus grande collection au monde d'œuvres impressionnistes et post-impressionnistes.,https://images.unsplash.com/photo-1632127257703-0cf673d29050?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZCUyN09yc2F5fGVufDB8fHx8MTcyNzE5MDM2NXww&ixlib=rb-4.0.3&q=80&w=1080
Musée de Cluny,"A museum of medieval history and art, featuring stunning tapestries and architectural relics.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBDbHVueXxlbnwwfHx8fDE3MjcyMDA5MjF8MA&ixlib=rb-4.0.3&q=80&w=1080
Musée de Montmartre,"A museum that captures the bohemian history of Montmartre, set in an artists' residence.",https://images.unsplash.com/photo-1628589549925-3bb8e0632be5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBNb250bWFydHJlfGVufDB8fHx8MTcyNzIwMDkyMnww&ixlib=rb-4.0.3&q=80&w=1080
Musée de l'Orangerie,"A must-visit for art lovers, showcasing Monet's Water Lilies in a serene setting.",https://images.unsplash.com/photo-1551124190-343f48f285fa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBsJTI3T3JhbmdlcmllfGVufDB8fHx8MTcyNzIwMDkyNHww&ixlib=rb-4.0.3&q=80&w=1080
Musée de la Chasse et de la Nature,"An eclectic museum dedicated to hunting and nature, offering a unique experience.",https://images.unsplash.com/photo-1472396961693-142e6e269027?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBsYSUyMENoYXNzZSUyMGV0JTIwZGUlMjBsYSUyME5hdHVyZXxlbnwwfHx8fDE3MjcyMDA5MjZ8MA&ixlib=rb-4.0.3&q=80&w=1080
Musée de la Vie Romantique,"A museum dedicated to the Romantic era, set in a charming house with a garden and café.",https://images.unsplash.com/photo-1598065412434-6544dc76f81f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZGUlMjBsYSUyMFZpZSUyMFJvbWFudGlxdWV8ZW58MHx8fHwxNzI3MjAwOTI3fDA&ixlib=rb-4.0.3&q=80&w=1080
Musée du Quai Branly,"A museum dedicated to the art and culture of Africa, Asia, Oceania, and the Americas.",https://images.unsplash.com/photo-1666468687723-eaa328a27e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxNdXMlQzMlQTllJTIwZHUlMjBRdWFpJTIwQnJhbmx5fGVufDB8fHx8MTcyNzIwMDkyOHww&ixlib=rb-4.0.3&q=80&w=1080
Notre-Dame Cathedral,Découvrez l'architecture gothique de la cathédrale Notre-Dame de Paris.,https://images.unsplash.com/photo-1565457211452-16f8e7062a0a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxOb3RyZS1EYW1lJTIwQ2F0aGVkcmFsfGVufDB8fHx8MTcyNzE5MDIzMnww&ixlib=rb-4.0.3&q=80&w=1080
